R [20260828 194828][14.074] N8DPD K0DTM -19 5 2194
R [20260828 194828][14.074] NO0X KK7MEH CN87 20 1769
R [20260828 194828][14.074] KC8ZKS KE0RVP DM79 8 588
R [20260828 194829][14.074] ZB2FTY KJ5MPL -11 18 725
R [20260828 194829][14.074] RI1FJL VE3OP FN25 6 1350
R [20260828 194829][14.074] K0VN KM7FBY -08 7 644
R [20260828 194829][14.074] W8MPY K5MGY 73 2 2612
T [20260828 194830][14.074] CQ POTA N6HAN CM87 1299
R [20260828 194857][14.074] W0SS W5TRL EM10 5 2256
R [20260828 194858][14.074] KC8ZKS KE0RVP R-15 2 581
R [20260828 194858][14.074] PD2XX W7TUS DM42 0 794
R [20260828 194858][14.074] CQ K4YT FM19 8 2738
R [20260828 194858][14.074] N8DPD K0DTM -19 4 2194
R [20260828 194858][14.074] W0SS KG7MYX -04 -10 2119
R [20260828 194858][14.074] NO0X N8KHG EM30 4 1050
R [20260828 194858][14.074] Z62NS KB8SW EN82 4 531
R [20260828 194858][14.074] W4MKH W9MDM EN61 8 1262
R [20260828 194858][14.074] ZB2FTY KJ5MPL -11 22 725
R [20260828 194859][14.074] RI1FJL VE3OP FN25 -10 1350
T [20260828 194900][14.074] CQ POTA N6HAN CM87 1252
R [20260828 194927][14.074] W0SS W5TRL R+10 10 2256
R [20260828 194927][14.074] PD2XX W7TUS DM42 8 794
R [20260828 194928][14.074] NO0X KK7MEH CN87 25 1775
R [20260828 194928][14.074] KC8ZKS KE0RVP R-15 2 581
R [20260828 194928][14.074] W1TF K0BHB EN34 -2 1856
R [20260828 194928][14.074] N8DPD K0DTM -19 6 2194
R [20260828 194928][14.074] Z62NS KB8SW EN82 12 531
R [20260828 194928][14.074] CQ K4YT FM19 4 2731
R [20260828 194928][14.074] NO0X KI7DAN 73 20 1988
R [20260828 194929][14.074] NO0X N8KHG EM30 10 1050
R [20260828 194929][14.074] Z62NS AE5FM EM13 6 700
R [20260828 194929][14.074] W4MKH W9MDM EN61 9 1262
R [20260828 194929][14.074] NO0X KC5JNR EM10 3 2319
R [20260828 194929][14.074] K0WML N5WRX EL17 10 1138
R [20260828 194930][14.074] RI1FJL VE3OP FN25 3 1350
T [20260828 194930][14.074] CQ POTA N6HAN CM87 1820
R [20260828 194957][14.074] W0SS W5TRL 73 0 2256
R [20260828 194958][14.074] CQ W7KR DN17 10 1556
R [20260828 194958][14.074] KC8ZKS KE0RVP 73 4 581
R [20260828 194958][14.074] KD2BRV KF0RMY -08 16 644
R [20260828 194958][14.074] Z62NS K2KN FN03 6 1194
R [20260828 194958][14.074] PD2XX W7TUS DM42 10 794
R [20260828 194958][14.074] Z62NS AE5FM EM13 9 700
R [20260828 194959][14.074] Z62NS K0DTM -14 8 2194
R [20260828 194959][14.074] RI1FJL VE3OP FN25 2 1350
R [20260828 194959][14.074] KY4JDC K5RSB EM20 16 1906
R [20260828 194959][14.074] Z62NS KB8SW EN82 -6 531
T [20260828 195000][14.074] CQ POTA N6HAN CM87 857
R [20260828 195027][14.074] CQ W7KR DN17 15 1556
R [20260828 195027][14.074] Z62NS AE5FM EM13 3 700
R [20260828 195028][14.074] NO0X N8KHG 73 6 1050
R [20260828 195028][14.074] Z62NS AC0DH EN34 -2 794
R [20260828 195028][14.074] RI1FJL VE3GLN FN25 10 2719
R [20260828 195028][14.074] RI1FJL VE3OP FN25 -2 1350
R [20260828 195028][14.074] Z62NS K0DTM -14 0 2194
R [20260828 195028][14.074] NO0X KK7MEH CN87 13 1769
R [20260828 195029][14.074] W4MKH W9MDM EN61 8 1262
R [20260828 195029][14.074] KS3F W6NUC DN13 6 531
T [20260828 195030][14.074] CQ POTA N6HAN CM87 1368
R [20260828 195057][14.074] <...> W7TUS DM42 4 1631
R [20260828 195057][14.074] CQ W7KR DN17 5 1562
R [20260828 195058][14.074] Z62NS AE5FM EM13 -4 700
R [20260828 195058][14.074] ZB2FTY K0SH EN23 6 1862
R [20260828 195058][14.074] Z62NS K0DTM -14 -2 2194
R [20260828 195058][14.074] RI1FJL VE7VZ DN09 -2 394
R [20260828 195058][14.074] KC8ZKS KI7DAN DN40 18 1988
R [20260828 195058][14.074] Z62NS AC0DH EN34 2 794
R [20260828 195059][14.074] RI1FJL VE3GLN FN25 0 2719
R [20260828 195059][14.074] CQ KC5UZI EM13 -4 1762
R [20260828 195059][14.074] W4MKH W9MDM R-11 10 1262
R [20260828 195059][14.074] NO0X KC5JNR EM10 2 2319
R [20260828 195059][14.074] K0WLY KC7WDL CN87 8 2112
T [20260828 195100][14.074] CQ POTA N6HAN CM87 2164
R [20260828 195127][14.074] CQ W7KR DN17 7 1556
R [20260828 195128][14.074] RI1FJL VE7VZ DN09 24 394
R [20260828 195128][14.074] N6HAN K7EBO DN31 2 1369
R [20260828 195128][14.074] KC8ZKS KI7DAN DN40 7 1988
R [20260828 195128][14.074] <...> W7TUS DM42 10 1631
R [20260828 195128][14.074] Z62NS AC0DH EN34 6 794
R [20260828 195128][14.074] K0WLY KC7WDL R-09 12 2112
R [20260828 195128][14.074] ZB2FTY K0SH EN23 8 1862
R [20260828 195128][14.074] ZB2FTY KJ5MPL RR73 6 725
R [20260828 195129][14.074] Z62NS K0DTM -14 5 2194
R [20260828 195129][14.074] N5FMP KK7MEH CN87 16 1769
T [20260828 195130][14.074] K7EBO N6HAN +2 2385
R [20260828 195157][14.074] RI1FJL VE7VZ R-01 10 394
R [20260828 195157][14.074] CQ W7KR DN17 6 1562
R [20260828 195158][14.074] ZB2FTY KJ5MPL RR73 -3 725
R [20260828 195158][14.074] KC9JFX N8KHG EM30 9 1050
R [20260828 195158][14.074] N6HAN K7EBO DN31 -25 1369
R [20260828 195158][14.074] Z62NS K0DTM -14 9 2194
R [20260828 195158][14.074] ZB2FTY K0SH EN23 11 1862
R [20260828 195158][14.074] K0WLY KC7WDL 73 4 2112
R [20260828 195158][14.074] KC8ZKS W5TRL EM10 -4 2256
R [20260828 195158][14.074] K0WLY AI5OS EM10 22 2844
R [20260828 195159][14.074] Z62NS AC0DH EN34 2 794
R [20260828 195159][14.074] KD2UTC KF0RMY +00 8 644
R [20260828 195159][14.074] N5FMP KK7MEH R-11 16 1769
T [20260828 195200][14.074] K7EBO N6HAN +2 1922
R [20260828 195227][14.074] AI5AY W7KR -17 12 1562
R [20260828 195228][14.074] RI1FJL VE7VZ 73 28 394
R [20260828 195228][14.074] ZB2FTY KJ5MPL RR73 -2 725
R [20260828 195228][14.074] ZB2FTY K0SH EN23 24 1862
R [20260828 195228][14.074] KC8ZKS W5TRL EM10 24 2256
R [20260828 195228][14.074] KC9JFX N8KHG EM30 22 1050
R [20260828 195228][14.074] Z62NS K0DTM -14 0 2194
R [20260828 195228][14.074] W4MKH KE0SOR R+05 19 1262
R [20260828 195228][14.074] N5FMP KK7MEH 73 -15 1769
R [20260828 195229][14.074] KC8ZKS KI7DAN R+00 10 1988
T [20260828 195230][14.074] K7EBO N6HAN +2 1025
R [20260828 195257][14.074] AI5AY W7KR -17 12 1562
R [20260828 195258][14.074] K0WML W5TRL EM10 18 2250
R [20260828 195258][14.074] K4WSP N8KHG EM30 16 1050
R [20260828 195258][14.074] Z62NS AC0DH EN34 6 794
R [20260828 195258][14.074] ZB2FTY KJ5MPL RR73 -6 725
R [20260828 195258][14.074] CQ K4YT FM19 -2 2731
R [20260828 195258][14.074] KS0CW KK7MEH CN87 15 1769
R [20260828 195258][14.074] W4MKH KE0SOR R+05 6 1262
R [20260828 195258][14.074] KC8ZKS KI7DAN 73 13 1988
R [20260828 195258][14.074] W7/G0HSP W9MD 10 1419
R [20260828 195259][14.074] Z62NS K0DTM -14 4 2194
R [20260828 195259][14.074] Z62NS VE3UWC FN25 20 969
R [20260828 195259][14.074] HB9EKJ KF8WX EM98 14 2450
T [20260828 195300][14.074] K7EBO N6HAN +2 2055
R [20260828 195327][14.074] AI5AY W7KR -17 12 1562
R [20260828 195328][14.074] KC8ZKS W5TRL R+12 22 2250
R [20260828 195328][14.074] ZB2FTY KJ5MPL RR73 12 725
R [20260828 195328][14.074] N6HAN K7EBO R-23 11 1369
R [20260828 195328][14.074] ZB2FTY K0SH R-05 20 1862
R [20260828 195328][14.074] N8DTP K0VN DM43 14 631
R [20260828 195328][14.074] K4WSP N8KHG EM30 11 1050
R [20260828 195328][14.074] W4MKH KE0SOR R+05 19 1262
R [20260828 195328][14.074] W7/G0HSP W9MD 10 1419
R [20260828 195328][14.074] Z62NS AC0DH EN34 -6 794
R [20260828 195329][14.074] Z62NS K0DTM -14 -2 2194
R [20260828 195329][14.074] CQ K4YT FM19 6 2731
R [20260828 195329][14.074] EA2AA NF3R RR73 6 1962
T [20260828 195330][14.074] K7EBO N6HAN RR73 855
R [20260828 195357][14.074] KC8ZKS W5TRL 73 4 2250
R [20260828 195357][14.074] N6HAN K7EBO R-23 11 1369
R [20260828 195358][14.074] KC9JFX N8KHG R-02 6 1050
R [20260828 195358][14.074] ZB2FTY K0SH R-05 -1 1862
R [20260828 195358][14.074] Z62NS K0DTM -14 2 2194
R [20260828 195358][14.074] CQ K4YT FM19 6 2731
R [20260828 195358][14.074] W7/G0HSP W9MD 5 1419
R [20260828 195358][14.074] <...> KB8SW EN82 9 531
R [20260828 195359][14.074] NO0X KJ7WLL CN85 12 756
T [20260828 195400][14.074] K7EBO N6HAN RR73 2054
R [20260828 195427][14.074] CQ W7KR DN17 17 1562
R [20260828 195428][14.074] N6HAN K7EBO RR73 0 1369
R [20260828 195428][14.074] K0WML W5TRL R+03 8 2250
R [20260828 195428][14.074] K6GAV K4YT -10 -1 2731
R [20260828 195428][14.074] F4JLS N9WHM EN12 14 2544
R [20260828 195428][14.074] CQ DX JA8KSF QN03 7 2044
R [20260828 195428][14.074] Z62NS K0DTM -14 0 2194
R [20260828 195428][14.074] W7/G0HSP W9MD 2 1419
R [20260828 195428][14.074] W4MKH KE0SOR R+05 10 1262
R [20260828 195429][14.074] KC9JFX N8KHG 73 12 1050
R [20260828 195429][14.074] RI1FJL KB8SW EN82 7 531
T [20260828 195430][14.074] CQ POTA N6HAN CM87 2065
R [20260828 195457][14.074] CQ W7KR DN17 9 1562
R [20260828 195458][14.074] CQ DX JA8KSF QN03 6 2050
R [20260828 195458][14.074] ZB2FTY KJ5MPL RR73 10 725
R [20260828 195458][14.074] K0WML W5TRL 73 -11 2250
R [20260828 195458][14.074] K6GAV K4YT -10 -2 2731
R [20260828 195458][14.074] RI1FJL KB8SW EN82 10 531
R [20260828 195458][14.074] VY0IRC VE3UWC 73 20 969
R [20260828 195458][14.074] W4MKH KE0SOR R+05 8 1262
R [20260828 195459][14.074] K4WSP N8KHG R-08 12 1050
R [20260828 195459][14.074] W0SS KC8ZKS -10 6 581
R [20260828 195459][14.074] ZB2FTY K0SH R-05 12 1862
R [20260828 195459][14.074] Z62NS K0DTM -14 6 2194
T [20260828 195500][14.074] CQ POTA N6HAN CM87 1122
R [20260828 195527][14.074] CQ W7KR DN17 12 1562
R [20260828 195527][14.074] K4WSP N8KHG R-08 6 1050
R [20260828 195528][14.074] ZB2FTY KJ5MPL RR73 14 725
R [20260828 195528][14.074] VE4ZIM JA8KSF R-15 0 2050
R [20260828 195528][14.074] ZB2FTY K0SH 73 1 1862
R [20260828 195528][14.074] AA4AZ AF0G EM28 6 844
R [20260828 195528][14.074] RI1FJL KB8SW EN82 12 531
R [20260828 195528][14.074] AA4AZ W0REM R+06 19 1788
R [20260828 195528][14.074] WA7PVE W9MDM EN61 0 1688
R [20260828 195529][14.074] W4MKH KE0SOR R+05 3 1262
R [20260828 195529][14.074] NO0X KD2BRV R+01 4 2312
R [20260828 195529][14.074] RI1FJL K0DTM -11 -2 2194
R [20260828 195529][14.074] DL2VPO AD9GE RR73 -6 1988
T [20260828 195530][14.074] CQ POTA N6HAN CM87 1237
R [20260828 195557][14.074] K4WSP N8KHG 73 2 1050
R [20260828 195558][14.074] W0SS VE3GLN FN25 9 2719
R [20260828 195558][14.074] VE4ZIM JA8KSF 73 0 2044
